iter	Passed	Remaining
398	62719	94472
399	62867	94300
400	62979	94076
401	63098	93863
402	63213	93644
403	63342	93445
404	63456	93226
405	63578	93019
406	63708	92824
407	63815	92594
408	63953	92411
409	64098	92238
410	64194	91995
411	64339	91824
412	64488	91658
413	64625	91474
414	64766	91297
415	64877	91077
416	65008	90886
417	65111	90657
418	65230	90450
419	65351	90247
420	65479	90054
421	65586	89831
422	65709	89631
423	65842	89446
424	65958	89237
425	66083	89042
426	66195	88829
427	66339	88659
428	66462	88461
429	66602	88287
430	66793	88180
431	66927	87996
432	67043	87791
433	67179	87611
434	67304	87417
435	67415	87207
436	67559	87038
437	67716	86887
438	67884	86749
439	68014	86563
440	68129	86359
441	68226	86132
442	68340	85927
443	68449	85716
444	68568	85517
445	68671	85299
446	68764	85070
447	68875	84864
448	68965	84632
449	69074	84424
450	69180	84213
451	69295	84012
452	69443	83853
453	69545	83638
454	69674	83456
455	69767	83231
456	69908	83064
457	70013	82853
458	70121	82648
459	70255	82474
460	70371	82278
461	70490	82085
462	70639	81929
463	70755	81734
464	70903	81577
465	71066	81436
466	71191	81252
467	71302	81053
468	71419	80860
469	71564	80700
470	71716	80548
471	71850	80375
472	71992	80211
473	72116	80028
474	72247	79852
475	72386	79686
476	72496	79488
477	72599	79282
478	72690	79064
479	72823	78892
480	72973	78738
481	73110	78571
482	73247	78403
483	73359	78209
484	73547	78096
485	73696	77942
486	73845	77788
487	74000	77640
488	74141	77477
489	74488	77529
490	74812	77555
491	75078	77519
492	75401	77542
493	75684	77523
494	75986	77521
495	76245	77474
496	76518	77441
497	76776	77393
498	77044	77352
499	77272	77272
500	77556	77246
501	77894	77273
502	78135	77203
503	78389	77145
504	78675	77117
505	78964	77091
506	79250	77062
507	79451	76948
508	79643	76826
509	79928	76793
510	80203	76750
511	80460	76689
512	80761	76668
513	81052	76636
514	81394	76653
515	81743	76673
516	81947	76558
517	82228	76513
518	82525	76483
519	82813	76443
520	83089	76391
521	83340	76315
