iter	MultiClass
159	1.338425514
160	1.338190517
161	1.337958279
162	1.337781729
163	1.337565455
164	1.337365101
165	1.33712439
166	1.336940715
167	1.336775686
168	1.336503163
169	1.336275489
170	1.336020264
171	1.335767097
172	1.335572902
173	1.335323336
174	1.335117817
175	1.334934641
176	1.334732209
177	1.33450765
178	1.334332432
179	1.334124224
180	1.333890311
181	1.33365278
182	1.333472318
183	1.333276145
184	1.333010755
185	1.332789238
186	1.332545145
187	1.332309593
188	1.332166236
189	1.331999017
190	1.331819998
191	1.331615065
192	1.331404531
193	1.33116395
194	1.33095441
195	1.330743606
196	1.330607257
197	1.330399935
198	1.330182283
199	1.329995905
200	1.329790373
201	1.329513163
202	1.329330436
203	1.329160843
204	1.328971459
205	1.328802383
206	1.328608739
207	1.328454252
208	1.328284548
209	1.328085203
210	1.327875599
211	1.327699815
212	1.327484432
213	1.327357467
214	1.327198575
215	1.327027823
216	1.326840142
217	1.326708183
218	1.326502761
219	1.326317373
220	1.326131628
221	1.325950289
222	1.325761754
223	1.325546473
224	1.325344222
225	1.325199867
226	1.325063138
227	1.324842495
228	1.324740666
229	1.324574267
230	1.324390647
231	1.324278909
232	1.324129692
233	1.323933262
234	1.323820129
235	1.323644081
236	1.323371336
237	1.323114635
238	1.322966612
239	1.322752164
240	1.322603654
241	1.322453601
242	1.322271401
243	1.322133937
244	1.32192262
245	1.321742143
246	1.32161224
247	1.321455381
248	1.321298909
249	1.321143655
250	1.321012386
251	1.320897975
252	1.320753121
253	1.320585071
254	1.320445176
255	1.320253961
256	1.320119167
257	1.319967589
258	1.319802335
259	1.31962198
260	1.319503778
261	1.319390332
262	1.319228213
263	1.319046729
264	1.318895446
265	1.318780102
266	1.31862005
267	1.318447156
268	1.31830077
269	1.3181712
270	1.31800721
271	1.317838887
272	1.317703993
273	1.317530606
274	1.317365781
275	1.317248492
276	1.3171103
277	1.317023555
278	1.316860245
279	1.316733634
280	1.316613601
281	1.316447336
282	1.316268124
283	1.316083435
284	1.3159541
285	1.315827959
286	1.315679316
287	1.315539727
288	1.315436897
289	1.315279653
290	1.315142108
291	1.314977978
292	1.314827683
293	1.314695729
294	1.314548667
295	1.31442625
296	1.314266944
297	1.314147489
298	1.313974361
299	1.313825559
300	1.31374084
301	1.3136093
302	1.31344428
303	1.313306707
304	1.313101929
305	1.312983954
306	1.312805144
307	1.312667975
308	1.312523945
309	1.312366865
310	1.31220196
311	1.312030289
312	1.311897676
313	1.311748693
314	1.311636248
315	1.311541827
316	1.311400318
317	1.311242331
318	1.311110411
319	1.310913889
320	1.310754266
321	1.310613654
322	1.310486262
323	1.310392103
324	1.310208116
325	1.310138323
326	1.310004927
327	1.309860468
328	1.30977952
329	1.309689967
330	1.309562229
331	1.309444931
332	1.309294464
333	1.309182379
334	1.309033145
335	1.308931901
336	1.308815004
337	1.308632788
338	1.308474417
339	1.308361932
340	1.308221574
341	1.308089472
342	1.307914959
343	1.30776549
344	1.307624245
345	1.307494871
346	1.307399114
347	1.307296406
348	1.307204484
349	1.307097959
350	1.306921076
351	1.306814103
352	1.306703007
353	1.306559766
354	1.306428812
355	1.306337401
356	1.306163654
357	1.306016325
358	1.305907447
359	1.305754685
360	1.305670881
361	1.305559675
362	1.305463055
363	1.305307209
364	1.305180142
365	1.304998258
366	1.304861304
367	1.304742717
368	1.30461672
369	1.30450463
370	1.304417029
371	1.304301511
372	1.304146361
373	1.304025553
374	1.303887897
375	1.303759467
376	1.303621336
377	1.303518783
378	1.303323621
379	1.303222764
380	1.303130904
381	1.303008206
382	1.302883154
383	1.302781491
384	1.302668781
385	1.302556625
386	1.302419173
387	1.302294689
388	1.302169907
389	1.302054202
390	1.301877044
391	1.301767903
392	1.301625769
393	1.301507216
394	1.301331011
395	1.301228308
396	1.301060914
397	1.300930829
398	1.300828069
399	1.300705397
400	1.300590533
401	1.30049015
402	1.300365026
403	1.300252446
404	1.30014915
405	1.300007017
406	1.299836594
407	1.299755942
408	1.299621808
409	1.299479362
410	1.299375574
411	1.29923287
412	1.299123413
413	1.299008544
414	1.298913486
415	1.298828891
416	1.298723116
417	1.298608439
418	1.29847626
419	1.298362691
420	1.298217344
421	1.298120432
422	1.297993689
423	1.297896578
424	1.297803304
425	1.297723709
426	1.297619323
427	1.297497113
428	1.297369836
429	1.297248648
430	1.297162785
431	1.297077095
432	1.297014743
433	1.296907187
434	1.296798712
435	1.296700128
436	1.296591941
437	1.296501485
438	1.29638946
439	1.296253098
440	1.29616237
441	1.296070898
442	1.295974922
443	1.295873443
444	1.295773679
445	1.295671368
446	1.295572691
447	1.295469316
448	1.295389385
449	1.295271492
450	1.29517384
451	1.295057801
452	1.29491839
453	1.294799494
454	1.29469281
455	1.294604124
456	1.294461489
457	1.294381214
458	1.294255859
459	1.294128889
460	1.294000301
461	1.293880651
462	1.293713054
463	1.29362506
464	1.293522301
465	1.2933961
466	1.293301868
467	1.293205317
468	1.293084451
469	1.292972516
470	1.292819569
471	1.292735607
472	1.292633306
473	1.292528077
474	1.292413746
475	1.292253154
476	1.292183346
477	1.292092781
478	1.292033939
479	1.291903033
480	1.291782614
481	1.291637493
482	1.291500313
483	1.291422453
484	1.29128102
485	1.291173821
486	1.291032188
487	1.290916417
488	1.290845123
489	1.290742453
490	1.290634723
491	1.290523549
492	1.290396755
493	1.290269823
494	1.290140575
495	1.290058662
496	1.289930594
497	1.289816206
498	1.289726743
499	1.289639102
500	1.289545356
501	1.289427383
502	1.289318871
503	1.289246176
504	1.289154998
505	1.289076301
506	1.288952091
507	1.288839376
508	1.288772668
509	1.288698094
510	1.288560764
511	1.288478242
512	1.288393792
513	1.288262546
514	1.288140757
515	1.288050654
516	1.287972932
517	1.287868291
518	1.287738269
519	1.287629959
520	1.287467249
521	1.287374499
522	1.287267517
523	1.28714183
524	1.287004687
525	1.286922315
526	1.286835926
527	1.286705897
528	1.286574325
529	1.286484125
530	1.286388759
531	1.286272543
532	1.286171728
533	1.286041605
534	1.28594613
535	1.28584544
536	1.285759738
537	1.285663615
538	1.285555289
539	1.285458206
540	1.285295701
541	1.285199562
542	1.285124435
543	1.285013314
544	1.284867418
545	1.28480843
546	1.284679647
547	1.284603826
548	1.28450759
549	1.284415655
550	1.28433381
551	1.284211993
552	1.284093764
553	1.283991812
554	1.28389233
555	1.283842513
556	1.283728576
557	1.2835985
558	1.283501259
559	1.283399271
560	1.283317735
561	1.283221277
562	1.283119776
563	1.283056244
564	1.282975654
565	1.282885715
566	1.282795252
567	1.282702325
568	1.282593175
569	1.282489561
570	1.282368839
571	1.282254798
572	1.282149892
573	1.28206743
574	1.281957419
575	1.281859294
576	1.281789096
577	1.281687629
578	1.28162668
579	1.281549855
580	1.281455615
581	1.28134566
582	1.281263565
583	1.281142262
584	1.281067607
585	1.280953261
586	1.280862843
587	1.280756901
588	1.280648044
589	1.280525772
590	1.280438721
591	1.280333327
592	1.280253179
593	1.280121826
594	1.280048072
595	1.279921812
596	1.279808938
597	1.279714391
598	1.279588807
599	1.279476998
600	1.279356145
601	1.279275337
602	1.279163262
603	1.279042384
604	1.278927745
605	1.278743628
606	1.278643127
607	1.27858477
608	1.278494841
609	1.278394431
610	1.278295749
611	1.278206083
612	1.278145382
613	1.278024536
614	1.277938415
615	1.277830799
616	1.277714438
617	1.277600814
618	1.277515976
619	1.277393274
620	1.27727574
621	1.277149226
622	1.277024561
623	1.276899173
624	1.276767017
625	1.276681533
626	1.276590449
627	1.276486806
628	1.27636709
629	1.276292057
630	1.276168812
631	1.276074157
632	1.275988949
633	1.275876439
634	1.275770198
635	1.275660945
636	1.275568432
637	1.275501105
638	1.275415195
639	1.275357891
640	1.275286035
641	1.275208557
642	1.275074696
643	1.274947805
644	1.274837215
645	1.274696806
646	1.274646368
647	1.27457668
648	1.274488536
649	1.274392448
650	1.27427502
651	1.274179167
652	1.27406484
653	1.273971856
654	1.273868508
655	1.273757991
656	1.273643475
657	1.273524965
658	1.273421027
659	1.273343825
660	1.273238847
661	1.273128013
662	1.273032163
663	1.272969075
664	1.272889339
665	1.272775894
666	1.27271752
667	1.272596918
668	1.272515655
669	1.272399352
670	1.272268609
671	1.272145103
672	1.272053203
673	1.271919999
674	1.271849947
675	1.271771778
676	1.271687437
677	1.271635866
678	1.27152086
679	1.271415553
680	1.271316474
681	1.271220513
682	1.271120682
683	1.271047342
684	1.270964325
685	1.27090849
686	1.270823065
687	1.270723629
688	1.270643961
689	1.270513994
690	1.270439363
691	1.27031785
692	1.270193835
693	1.270089178
694	1.269999818
695	1.269936193
696	1.269834982
697	1.269724117
698	1.269609666
699	1.269529688
700	1.269436167
701	1.269318366
702	1.269203014
703	1.269137441
704	1.269059336
705	1.268975917
706	1.268909808
707	1.268770438
708	1.268688174
709	1.268612663
710	1.268534053
711	1.268443752
712	1.268357874
713	1.268233959
714	1.268117356
715	1.26803417
716	1.267946857
717	1.267828329
718	1.267758522
719	1.267657035
720	1.267546492
721	1.267437334
722	1.267301248
723	1.26721545
724	1.267140806
725	1.267065297
726	1.266930527
727	1.266835975
728	1.266735686
729	1.266643877
730	1.266546347
731	1.266474379
732	1.266393221
733	1.266271288
734	1.266150613
735	1.266056555
736	1.265943034
737	1.265842129
738	1.265759749
739	1.265669141
740	1.26553827
741	1.265443385
742	1.265373373
743	1.265299975
744	1.265209671
745	1.265128999
746	1.265041946
747	1.264952904
748	1.264855201
749	1.264761931
750	1.264673292
751	1.264548352
752	1.264416076
753	1.264283233
754	1.264181076
755	1.26410007
756	1.26400888
757	1.263900463
758	1.263794719
759	1.263703449
760	1.263584986
761	1.263515734
762	1.263391083
763	1.263295215
764	1.263200402
765	1.263126447
766	1.263035222
767	1.262935677
768	1.262865178
769	1.262797768
770	1.262730751
771	1.262630908
772	1.262524255
773	1.262452472
774	1.262374094
775	1.262281013
776	1.262185679
777	1.262114595
778	1.262025221
779	1.261931496
780	1.261834623
781	1.261715374
782	1.261613809
783	1.261539446
784	1.261434026
785	1.261364424
786	1.261254708
787	1.261135595
788	1.261049123
789	1.260958669
790	1.260869121
791	1.260799327
792	1.260716105
793	1.260614891
794	1.260498591
795	1.260418403
796	1.260324779
797	1.260233778
798	1.260153203
799	1.260088344
800	1.259990468
801	1.259902464
802	1.259845792
803	1.259753494
804	1.25964854
805	1.259584132
806	1.25949941
807	1.259396886
808	1.259303274
809	1.259216808
810	1.259134197
811	1.259064168
812	1.258969409
813	1.258925912
814	1.258867383
815	1.258783454
816	1.258690523
817	1.258591804
818	1.258469166
819	1.258373916
820	1.258281636
821	1.258205371
822	1.258101507
823	1.258024934
824	1.257945561
825	1.257849448
826	1.25774969
827	1.257635485
828	1.257567423
829	1.257490771
830	1.257385218
831	1.257290934
832	1.257231317
833	1.25710493
834	1.257043477
835	1.256943312
836	1.256866253
837	1.256807441
838	1.256701722
839	1.256612438
840	1.256518839
841	1.256421937
842	1.256325944
843	1.256219775
844	1.256142708
845	1.256038879
846	1.255933389
847	1.255849716
848	1.255765254
849	1.255680698
850	1.255585903
851	1.255504404
852	1.255429994
853	1.255367951
854	1.255290769
855	1.255211418
856	1.255119613
857	1.255045085
858	1.254971452
859	1.25491605
860	1.254823123
861	1.254748061
862	1.254653822
863	1.254569939
864	1.25447352
865	1.254378258
866	1.254278812
867	1.254200124
868	1.254087791
869	1.254002939
870	1.253944768
871	1.25387091
872	1.253779245
873	1.25371475
874	1.253639521
875	1.253551508
876	1.253480296
877	1.253409118
878	1.253352039
879	1.253278896
880	1.253184725
881	1.253121545
882	1.253027133
883	1.25294765
884	1.252853523
885	1.252760269
886	1.252680506
887	1.252599198
888	1.252511975
889	1.252433573
890	1.252325852
891	1.252253887
892	1.252169413
893	1.252076871
894	1.251994819
895	1.251894398
896	1.251787704
897	1.251728709
898	1.251638613
899	1.251527642
900	1.251414506
901	1.251306456
902	1.251256692
903	1.251181309
904	1.251093478
905	1.25099398
906	1.250917959
907	1.250838379
908	1.250760332
909	1.250663912
910	1.250554946
911	1.250483121
912	1.250411755
913	1.250337864
914	1.250253542
915	1.250182016
916	1.250112333
917	1.250020807
918	1.249940764
919	1.24986558
920	1.249788881
921	1.249738302
922	1.24962206
923	1.249556765
924	1.249460678
925	1.249373214
926	1.249308704
927	1.249215089
928	1.249114198
929	1.249038455
930	1.248961034
931	1.248852948
932	1.24876978
933	1.248711205
934	1.248612514
935	1.248539901
936	1.248434457
937	1.248377006
938	1.248265028
939	1.248166426
940	1.248082426
941	1.248012626
942	1.247905015
943	1.247826451
944	1.247738169
945	1.247638773
946	1.247572866
947	1.247502712
948	1.247449778
949	1.247357621
950	1.247252238
951	1.247147932
952	1.247061636
953	1.246987119
954	1.246920653
955	1.246829576
956	1.246754221
957	1.246663646
958	1.246582986
959	1.246488998
960	1.246393688
961	1.246306477
962	1.246230512
963	1.246121244
964	1.246031151
965	1.245982593
966	1.245879165
967	1.245773896
968	1.245696516
969	1.245623698
970	1.245553309
971	1.245504254
972	1.245436726
973	1.245356638
974	1.245254035
975	1.245167397
976	1.245082847
977	1.245021738
978	1.244966307
979	1.244898802
980	1.244820232
981	1.24471987
982	1.244625848
983	1.244544242
984	1.244482008
985	1.244427532
986	1.244341858
987	1.244269186
988	1.244189782
989	1.244080283
990	1.243975845
991	1.24390508
992	1.243839812
993	1.243760147
994	1.243649359
995	1.243581484
996	1.243509352
997	1.243424225
998	1.243325842
999	1.243235562
